filename,triangles,vertices,bounds_x_m,bounds_y_m,bounds_z_m
boom_stage_0.stl,24,16,2.6200,0.6572,0.7632
boom_stage_1.stl,24,16,2.5800,0.5512,0.6148
boom_stage_2.stl,24,16,2.5400,0.4664,0.5088
boom_stage_3.stl,24,16,2.5000,0.3816,0.4134
boom_stage_4.stl,24,16,2.4600,0.3074,0.3286
boom_turret.stl,460,236,0.9600,0.9600,0.9000
c_channel_platform.stl,3288,1660,2.2347,2.4800,0.7400
cutting_arm_base.stl,24,16,0.8000,0.3400,0.4400
cutting_arm_link.stl,140,74,1.0100,0.2200,0.2000
cutting_tool.stl,268,138,0.6100,0.2000,0.3600
depth_camera_estimated.stl,204,108,0.1320,0.0500,0.0450
lidar_mid360_estimated.stl,384,195,0.1500,0.1500,0.1100
platform_mount.stl,24,16,1.0300,0.7200,0.5000
rail_carriage.stl,140,74,0.5500,0.3200,0.2500
range_sensor.stl,204,108,0.1120,0.0800,0.0650
vehicle_body.stl,900,488,4.3750,2.6200,2.6850
wheel.stl,768,358,0.8950,0.3800,0.9108
